,year,sex,town,age,paes,major,faculty,grade,VR,SR,AR,NA,MR,CSA,habits,approved,sch_type
0,2017,Femenino,Soyapango,23,5.52,Licenciatura en Idiomas con especialidad en la Enseñanza del Inglés,Facultad de CC. y Humanidades,8.4,75,15,20,5,45,5,5,Aprobado,Privado
1,2017,Femenino,Soyapango,23,4.5,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.6,75,20,15,50,15,5,1,Aprobado,Privado
2,2017,Femenino,Soyapango,24,3.83,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.6,45,5,10,30,15,5,4,Aprobado,Público
3,2017,Femenino,Soyapango,23,7.85,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,7.8,90,100,95,60,65,5,7,Aprobado,Público
4,2017,Femenino,Soyapango,23,5.14,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,8.2,25,60,10,50,95,5,2,Aprobado,Privado
5,2017,Femenino,Soyapango,22,4.5,Licenciatura en Diseño Gráfico,Facultad de CC. y Humanidades,8.3,70,10,65,5,60,5,13,Aprobado,Público
6,2017,Femenino,Soyapango,24,4.46,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.2,20,5,10,45,40,5,9,Aprobado,Público
7,2017,Femenino,Soyapango,22,3.56,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,8.0,50,10,50,80,20,5,4,Aprobado,Privado
8,2017,Femenino,Soyapango,22,3.17,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,8.2,55,10,15,80,55,5,2,Aprobado,Público
9,2017,Femenino,Soyapango,23,6.93,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,8.0,35,20,30,95,65,5,7,Aprobado,Privado
10,2017,Femenino,Soyapango,24,4.09,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.4,55,5,10,35,50,5,2,Aprobado,Privado
11,2017,Femenino,Soyapango,22,7.83,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.5,70,10,20,95,20,5,3,Aprobado,Público
12,2017,Femenino,Soyapango,23,8.15,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,9.5,95,75,90,90,25,5,6,Aprobado,Privado
13,2017,Femenino,Soyapango,22,3.56,Licenciatura en Ciencias de la Comunicación,Facultad de CC. y Humanidades,7.7,65,15,15,40,45,5,6,Aprobado,Privado
14,2017,Femenino,Soyapango,23,7.51,Licenciatura en Idiomas con especialidad en la Enseñanza del Inglés,Facultad de CC. y Humanidades,8.8,75,55,70,60,65,5,20,Aprobado,Privado
15,2017,Femenino,Soyapango,22,7.58,Licenciatura en Diseño Industrial y de Productos,Facultad de CC. y Humanidades,8.7,70,30,10,35,10,5,10,Aprobado,Público
16,2017,Femenino,Soyapango,23,7.71,Licenciatura en Idiomas con especialidad en la Enseñanza del Inglés,Facultad de CC. y Humanidades,9.4,70,60,75,60,20,5,7,Aprobado,Público
17,2017,Femenino,Soyapango,26,6.09,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,8.9,70,5,30,70,55,5,4,Aprobado,Público
18,2017,Femenino,Soyapango,22,7.6,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.5,50,10,40,80,70,5,5,Aprobado,Público
19,2017,Femenino,Soyapango,22,1.82,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.5,15,5,15,85,35,5,4,Aprobado,Privado
20,2017,Femenino,Soyapango,22,4.69,Licenciatura en Idiomas con especialidad en Turismo,Facultad de CC. y Humanidades,7.9,65,30,15,40,55,5,7,Aprobado,Privado
